Genes,E-M-DEAE-E1,E-M-DEAE-E2,E-M-DEAE-FT_G,E-M-DEAE-E1_G,E-TFF1_R,E-TFF1_M
UBXN1,0.2457,1.5711,0.3591,0.6947,0.9035,0.4256
GBE1,0.5656,1.844,0.3348,2.0288,0.1992,1.0138
EIF4G1,0.894,0.4036,0.3782,0.4842,0.4364,0.2939
ATP7A,0.1612,0.258,0.2613,0.2162,0.4623,0.1396
KRT17,0.2512,0.2883,0.4721,0.072,0.475,0.1353
NOTCH2,1.005,2.2843,0.6086,3.1563,1.3387,1.3143
HGFAC,7.548,0.2737,5.9131,0.1199,2.8911,3.205
GLO1,0.9887,2.5253,0.9793,4.6496,0.7919,1.7505
ACVR1,0.0945,1.117,0.2582,0.9957,0.1605,0.4274
AKR1C1,0.6211,1.0421,0.5598,0.8893,0.141,0.6873
SSBP1,0.093,0.3589,0.189,1.0557,0.4268,0.3519
YWHAH,1.2945,3.2293,2.158,4.3295,1.1073,2.1182
PLP2,0.5236,10.0279,1.2121,9.0823,0.5537,3.4392
UBE3A,0.1789,0.1414,0.2165,0.1982,0.2331,0.1704
DNM1,0.4149,0.2756,0.3758,0.2751,0.2294,0.3496
PTPN12,0.575,0.1481,0.4762,0.1783,0.4299,0.3082
CLC,0.7445,0.1736,1.6337,0.1115,0.9166,0.6682
PTK2,1.395,0.5339,0.7121,0.4771,4.0954,0.8577
PRKCD,0.4582,0.4893,0.6406,0.5022,0.3377,0.3732
CALD1,0.5402,1.2742,0.4457,1.6018,0.753,0.7283
ITIH3,8.4014,1.2981,10.3545,0.7984,10.947,5.1132
PTPN11,0.3037,0.6863,0.3212,0.7453,0.3842,0.5144
KDSR,7.8468,1.6592,7.8574,1.184,5.268,4.0271
BTK,0.6711,0.0391,0.4245,0.0471,0.4424,0.2853
PPAT,3.2223,0.5607,1.5885,0.654,1.8583,1.0033
GFPT1,0.9314,2.2374,1.1951,2.4706,1.4823,1.372
PSME1,1.138,0.6623,0.8939,1.2463,0.5476,1.0198
APLP2,1.0161,0.2752,1.0235,0.2169,1.0536,0.6811
PRDX1,3.6045,10.7959,4.0653,13.8029,3.5452,6.9519
RPL18,0.7524,1.4007,0.6502,1.3465,0.5919,0.8633
C1QBP,0.1918,0.067,0.1556,0.0576,0.209,0.0295
CKAP4,0.4736,0.9252,0.2971,0.9287,0.5434,0.4647
ENPEP,2.0788,0.1309,1.2274,0.1031,0.5402,0.8259
TJP1,0.4089,0.3263,1.0083,0.3761,0.3212,0.1738
ZFP36L1,0.1482,0.2902,0.3167,0.1368,0.3174,0.0914
SPAG1,0.2121,0.0319,0.0585,0.0459,0.2524,0.09
KHDRBS1,0.7949,0.2098,0.4402,0.2515,0.5263,0.2701
BAX,0.0799,0.3712,0.2468,0.3386,0.5381,0.2006
BCL2L1,0.3678,0.1018,0.2417,0.1486,0.3108,0.1542
MCL1,0.0929,0.152,0.2089,0.0798,0.2349,0.1351
KLC1,0.7108,1.048,0.5176,1.3657,0.9334,0.6509
SOS1,0.404,0.2154,0.2108,0.1794,0.1931,0.1257
LRP1,6.3464,2.8123,5.074,3.6466,3.3686,3.2347
ARHGAP1,2.0284,2.9964,2.3878,2.8999,2.5471,2.3238
TGM3,0.4338,0.1946,0.2094,0.08,0.4955,0.2873
PPP3CA,0.7491,1.4942,0.5131,1.6663,0.5863,0.8393
DHX9,0.2789,0.1262,0.2244,0.16,0.2982,0.3188
CRYZ,0.6732,0.3936,0.4911,0.5806,0.4634,0.4785
IL10RB,0.1222,0.3058,0.2416,0.2536,0.5828,0.2076
SLC20A2,0.2014,1.179,0.1271,0.828,0.6926,0.3254
GOLGA3,0.2032,0.0841,0.0834,0.0689,0.2825,0.0694
LGALS3BP,61.2789,9.3563,100.9549,1.2629,28.079,38.1813
MFGE8,8.7172,31.7245,6.884,38.148,4.8514,17.7734
DSC1,4.6085,2.4978,4.7387,2.1633,3.1651,1.5569
SPOCK1,1.1934,0.3092,2.4186,1.6977,7.3325,3.2426
CD47,4.3073,9.6157,4.9197,6.1348,1.0158,3.6551
PPID,0.2898,0.2477,0.6209,0.1798,0.3653,0.098
SPIRE1,2.5611,0.4721,3.05,0.132,2.1553,1.9244
VAC14,0.3216,0.1647,0.2067,0.183,0.2309,0.2227
NSUN2,0.1822,0.0491,0.1299,0.0494,0.3207,0.0726
AHNAK,2.9285,43.439,3.6413,64.4129,10.146,18.762
TBC1D8B,0.2259,0.1269,0.1993,0.1189,0.2934,0.0815
LAMTOR4,0.6252,0.658,0.754,0.9394,0.3392,0.4931
NEXN,0.2991,0.0916,0.1867,0.1855,0.5072,0.1333
MGAT2,0.2907,0.1092,0.4597,0.1236,0.3391,0.2054
GALNT2,0.451,0.3564,0.7181,0.3065,0.207,0.4238
GALNT1,0.459,0.1737,0.0975,0.1355,0.3193,0.1664
AP1B1,0.8648,0.9298,0.6546,1.2047,1.2668,0.7867
BST1,4.1952,2.2535,3.9863,2.2807,1.8027,3.3072
BST2,0.0725,0.3571,0.2208,0.2915,0.6195,0.2086
PMPCA,12.1156,13.4363,6.4965,4.1261,14.4745,5.2218
ST3GAL1,0.2958,0.0907,0.1771,0.0214,0.3262,0.2004
SCRN1,2.7999,3.3933,3.2623,3.6741,5.1894,2.148
WASHC5,0.4979,0.6444,0.2332,0.7613,1.2036,0.647
KCNMA1,0.214,0.388,0.2395,0.4908,0.0837,0.1895
TWF1,0.9316,1.2141,0.8671,1.3168,0.8534,0.7312
ASPH,0.9545,0.8585,0.2752,0.7394,0.5762,0.4243
AKAP13,0.1192,0.041,0.151,0.0579,0.212,0.0478
EFEMP1,1.6553,0.1559,1.4996,0.0943,0.8863,0.7211
FSTL1,2.3531,0.2073,1.1798,0.1408,1.34,0.4893
STX4,0.5425,2.8095,0.5071,2.5751,0.391,0.9924
MERTK,4.8166,0.4412,4.2201,0.0482,3.0382,1.6866
FAP,3.1872,20.5802,4.5001,22.1811,3.6528,9.5899
AIMP1,10.8215,1.502,1.0329,1.6339,1.4285,1.6031
ILF2,0.2619,0.0457,0.11,0.1233,0.3138,0.1589
ILF3,0.4571,0.1739,0.0988,0.0905,0.3092,0.099
LMAN2,0.9805,1.0451,1.4774,1.3667,1.1063,0.9856
PTPRJ,3.7634,1.1502,3.0076,0.9827,3.2907,1.7917
PTPN13,1.1434,0.1788,0.1029,0.154,0.3316,0.0866
EPS8,0.5324,0.4241,0.6301,0.4539,0.5752,0.2707
TRAP1,0.141,0.1722,0.3561,0.2078,0.9485,0.2363
TRAF2,0.1896,0.0908,0.1225,0.1069,0.2895,0.1382
DLG1,0.1624,2.1753,0.3753,3.2106,0.7192,0.8104
MYO1E,0.3319,0.2792,0.0719,0.2938,0.3432,0.1995
PTP4A2,0.3251,1.201,0.4032,1.5325,0.6463,0.4099
ABR,0.1085,0.5797,0.1998,0.5028,1.1641,0.3777
BNIP1,0.4396,0.3503,0.4154,0.1781,0.4254,0.2014
BNIP2,0.87,0.1714,0.0309,0.0955,0.3905,0.0895
ECH1,0.1109,0.0898,0.1552,0.0825,0.2816,0.0781
ARHGAP5,0.3505,0.3341,0.7079,0.2151,0.4972,0.2277
STRN3,0.5215,0.1751,0.2668,0.1378,0.1648,0.3399
FLII,0.753,0.3969,0.4982,0.3321,0.3501,0.4299
COASY,0.2884,0.3248,0.4023,0.3392,0.4313,0.3877
ACACA,3.3797,0.4221,0.2417,0.2333,0.3763,0.2783
PLA2G7,1.9428,0.076,1.3301,0.0348,1.1688,0.8848
GPS1,0.2343,0.426,0.4481,0.4559,0.5788,0.4736
SPP2,4.1747,0.2209,3.3775,0.2311,1.4637,2.0297
TRAF3,0.1451,0.2884,0.2822,0.1741,0.371,0.1164
MTAP,1.092,0.4204,0.8233,0.6312,0.5191,0.5417
PRKAA1,0.6578,1.0165,0.6881,0.8799,1.3906,0.5278
PPFIA1,0.1884,0.1189,0.1735,0.1121,0.2518,0.0516
TARDBP,0.4524,0.1661,0.2059,0.1276,0.3077,0.125
AIMP2,0.3903,0.3214,0.3722,0.3878,0.4496,0.3127
FADD,0.7245,0.2253,0.3528,0.1641,0.2759,0.1086
PRDX4,0.7791,0.6239,0.6331,0.605,1.6327,0.5161
PAK2,0.2701,0.936,0.2904,1.4523,0.695,0.6262
STX5,0.6807,0.0845,0.2863,0.112,0.5374,0.0695
CBLB,0.0701,0.1228,0.2153,0.0428,0.2436,0.2352
PSMD2,0.5759,1.1912,0.994,1.353,0.9976,0.9325
MMRN1,3.1058,0.3239,4.4207,0.2526,4.5277,2.2759
SEMA3B,2.6625,0.284,2.6711,0.1895,1.615,2.2658
PAPPA,0.8044,0.3714,0.9683,0.2766,4.6631,0.7674
SELENBP1,0.5674,0.2403,0.5965,0.1987,0.2106,0.479
MAD2L1,0.196,0.0622,0.2056,0.0845,0.2603,0.0639
STX3,0.1042,0.2495,0.2015,0.3295,0.5306,0.1878
G3BP1,0.3951,0.3874,0.6588,0.4288,0.3477,0.6153
NMI,0.945,0.1035,0.8576,0.1497,1.4515,0.615
PTK7,1.199,14.454,1.3423,14.911,2.5185,5.2927
PABPC4,0.51,0.3876,0.8736,0.2726,0.62,0.217
GRB10,0.0958,0.0424,0.1391,0.0525,0.2418,0.0581
IFIT5,0.209,0.1625,0.2165,0.1598,0.1036,0.1668
SLC14A1,0.2912,0.2244,0.1713,0.1871,0.2546,0.1315
EIF3I,0.4487,0.5937,0.4402,0.8266,0.5408,0.5872
CTBP1,0.1231,0.069,0.1133,0.0891,0.4688,0.1397
PDE3B,0.376,0.6857,0.3567,0.0342,0.2745,0.1006
PLD1,0.4687,0.4937,0.1196,0.4869,0.5458,0.3786
MYO7A,8.7684,0.2142,4.6764,0.0439,4.5277,2.7468
UBE2V1,0.4764,0.9729,0.2646,1.764,0.5451,0.5176
DYNC1I2,0.1371,0.5721,0.2906,0.5467,0.4141,0.2676
ILK,7.184,4.251,7.4007,3.8647,3.9107,5.3183
SNTB2,1.2149,3.0682,1.2016,3.3213,1.3067,1.4745
SLC39A6,0.4081,1.5406,0.443,1.8266,0.5272,0.5348
OS9,0.468,0.0473,0.4142,0.1146,0.6212,0.2099
PDAP1,0.3549,0.3683,0.3477,1.0949,0.3725,0.4493
ADAM9,1.6327,6.6229,1.3811,6.333,0.7529,2.3176
ADAM15,0.3573,0.2418,0.33,0.2259,0.3882,0.1302
LSAMP,0.1174,0.091,0.1097,0.1024,0.3052,0.0822
FKBP5,15.3065,7.9412,5.9044,5.8401,4.1376,5.652
MYO9B,0.2903,0.5259,0.1792,0.4741,0.1894,0.2835
ROCK1,0.6862,0.6057,0.55,0.7131,0.5188,0.4475
MADCAM1,0.2014,0.2314,0.1364,0.1957,0.1278,0.1217
TCIRG1,0.2468,0.5373,0.3025,0.5466,0.4336,0.3567
BIRC2,0.1361,0.108,0.2145,0.0251,0.1076,0.1468
PICALM,0.168,0.6076,0.2332,0.8108,0.28,0.5048
MTM1,0.0949,0.1808,0.5712,0.1789,0.2963,0.3984
SQSTM1,0.2817,0.2719,0.2428,0.35,0.5682,0.2053
ART3,2.3309,0.2838,1.9549,0.0197,0.7221,1.0866
TUBB3,0.6382,0.4376,0.3625,0.317,0.1999,0.4038
PIN1,0.3654,0.5294,0.3371,0.5625,0.5831,0.2372
SERINC3,0.5044,0.9686,0.4804,0.7294,18.2197,0.641
EIF4EBP1,0.2533,0.1385,0.1396,0.3956,0.3433,0.1475
HDAC1;HDAC2,0.1645,0.1509,0.1608,0.1123,0.2989,0.1027
CAMK2D,0.1951,0.3134,0.1422,0.3869,0.2277,0.1541
DCTN2,0.3797,0.3969,0.396,0.7667,0.4341,0.4309
PKD2,0.3003,0.0632,0.2193,0.0483,0.2857,0.1191
NAE1,0.04,0.141,0.1145,0.11,0.29,0.0378
IQGAP2,1.5005,1.3477,2.9411,0.5782,1.7915,1.3019
STIM1,0.327,0.0689,0.2238,0.0635,0.3135,0.1492
SEMA5A,0.4564,0.0706,0.2624,0.0631,0.4718,0.3067
SNX1,0.2017,0.2416,0.2153,0.352,0.4402,0.1698
DNASE1L3,1.4909,0.4137,0.9312,0.4263,0.8331,0.5585
PWP1,0.2215,0.088,0.1789,0.1507,0.2328,0.084
MTMR1,0.3129,0.1486,0.2991,0.2157,0.448,0.2269
MTMR2,0.1536,0.2146,0.373,0.2521,0.5083,0.1995
CUL1,0.3183,0.4298,0.2038,0.4915,0.2735,0.264
CUL2,0.7261,0.6073,0.624,0.6222,0.7159,0.5381
CUL3,0.4801,0.3265,0.4749,0.3803,0.7198,0.2174
CUL4A,0.4063,0.2255,0.2132,0.1376,0.2568,0.0909
CUL4B,0.2382,0.2882,0.5372,0.4353,0.3582,0.2662
TP53BP2,0.3452,0.2875,0.26,0.253,0.4092,0.0935
GFUS,0.7603,0.8136,0.8065,1.0336,1.0769,0.6986
RAB31,0.2422,0.4443,0.2377,0.5395,0.117,0.2835
RAB32,0.5965,2.0925,0.9005,2.36,0.8531,1.1118
TPBG,1.3003,9.8997,1.4851,12.1068,1.4056,4.4832
FHL1,1.7406,0.7327,1.5741,0.8048,0.6653,1.1806
FHL3,0.2457,0.8781,0.4546,0.6766,0.3372,0.4105
RIN1,0.3721,0.0294,0.3085,0.0395,0.4034,0.2561
ITGA7,0.6036,1.6796,0.4034,1.6093,0.6903,0.6812
AAMP,0.2204,0.061,0.1148,0.0565,0.2277,0.0473
MOGS,0.5237,0.4859,0.5318,0.5421,0.1551,0.4073
ALCAM,3.442,8.7488,3.4329,10.9691,3.4512,4.6274
LAMC2,0.5371,0.5916,0.2187,0.1832,2.5496,0.6077
APOF,0.3544,0.2244,0.4049,0.1546,0.3479,0.4969
PMAIP1,0.3235,0.1629,0.1506,0.1614,0.2188,0.1441
SPTAN1,1.0038,0.8667,1.0962,1.4237,2.7366,1.052
PKP1,0.1441,0.1472,0.5559,0.3089,0.3319,0.2481
DDX39B,0.6235,0.3726,0.5582,0.4127,0.5123,0.4472
BLMH,0.2842,0.3469,0.2439,0.2122,0.6612,0.1849
BMPR2,0.2495,1.1962,0.2245,1.3689,0.3551,0.6617
SNTB1,0.6038,0.2004,0.2074,0.2632,0.1943,0.1707
TUBB2A,1.0902,1.6457,1.2598,1.3506,0.6904,1.46
IDI1,1.565,0.5847,0.7139,0.528,1.0258,0.3532
CBFB,0.5065,0.3073,0.4487,0.2666,0.4326,0.317
PRKG1,0.2541,0.2377,0.4237,0.1785,0.2709,0.4147
CKAP5,0.4179,0.2678,0.3209,0.3158,0.5294,0.3576
CIRBP,0.2399,0.0698,0.1217,0.1217,0.3872,0.1785
CAMK1,0.5189,0.1895,0.453,0.1715,0.4097,0.3337
COTL1,0.7104,2.768,0.8316,3.745,0.5985,1.4662
COX17,0.1469,0.0114,0.128,0.0277,0.2402,0.023
HNRNPD,0.5288,0.1799,0.2464,0.2368,0.2146,0.263
SCARB2,2.8189,3.6887,4.5444,2.9531,0.6663,1.9569
NID2,0.6311,0.5723,0.6388,0.2838,2.1535,0.7838
LRP8,0.444,0.5925,0.3901,0.5525,1.2696,0.2615
DAG1,1.0116,2.1182,0.5673,2.7702,1.2501,1.4064
DSG2,0.8192,4.4082,1.0026,4.8868,1.5426,2.0957
UBE4A,0.1568,0.0802,0.22,0.0479,0.1712,0.061
SEPTIN6,0.3345,0.3561,0.3584,0.1521,0.439,0.3364
EIF3A,0.2367,0.5321,0.3966,0.5609,0.6246,0.5422
ARHGEF7,0.3516,0.2289,0.1918,0.1715,0.2049,0.1442
EFR3A,0.2531,1.7624,0.1586,1.5456,0.1271,0.7133
SCRIB,0.408,1.472,0.4588,1.3464,0.8196,0.6187
GIT2,0.2121,0.246,0.066,0.2228,0.5049,0.1759
IKBKE,0.2925,0.1594,0.4264,0.1529,0.3003,0.2808
MLEC,0.2599,0.2673,0.1024,0.1793,0.2774,0.0946
TTLL12,0.4854,0.2677,0.2879,0.2773,0.479,0.3107
MPP2,0.3562,0.328,0.339,0.3814,0.1253,0.321
DOCK1,0.1001,0.2753,0.125,0.2368,0.4978,0.2082
FHL2,1.7209,2.8669,1.5502,3.6483,0.9974,1.9597
DPYSL3,1.0344,2.1368,1.5016,2.5844,1.4122,1.3357
DCTN1,0.493,0.6441,0.7105,0.688,0.7875,0.4655
DYNC1H1,1.9216,3.322,2.314,3.447,1.929,2.631
EIF2B1,0.8022,0.4753,0.6123,0.6531,1.1493,0.7175
EIF4A2,0.3952,0.2158,0.4594,0.2002,0.6364,0.3269
SELPLG,0.3029,0.3331,0.2798,0.3861,0.2605,0.3477
CTTN,1.1004,1.1678,0.9019,1.4397,0.9805,0.7374
FLOT2,1.8907,1.2596,2.3858,1.1172,0.5785,1.1648
RCN2,0.2777,0.0395,0.2181,0.0454,0.3043,0.1025
TRIM25,0.5608,0.2713,0.1653,0.2471,0.572,0.2959
FLNC,1.7715,2.3191,1.649,1.6314,4.4084,1.191
FZD2,2.0995,0.675,0.5193,0.728,0.616,0.2758
GNA13,2.4184,11.9085,3.4508,11.1554,1.5326,5.8908
GAMT,0.5427,0.1657,0.4355,0.3298,0.7175,0.3102
GALE,0.3922,0.3449,0.3306,0.4811,0.2855,0.2743
LRRC32,0.4523,0.9818,0.429,0.8261,0.4029,0.4295
GAS6,0.398,0.2237,0.4824,0.1744,0.4935,0.3535
GPR176,0.6092,0.8872,0.4341,0.7625,0.5639,0.2726
NEDD9,0.8935,0.0511,0.8887,0.0395,0.906,0.4409
SPARCL1,0.278,0.1129,0.0536,0.1069,0.1506,0.0656
FAT1,1.0424,1.875,1.0353,2.2559,1.7817,1.2444
HABP2,1.5474,0.4184,1.4548,0.2744,2.7592,1.2801
PDIA5,0.096,0.1438,0.2245,0.1481,0.4101,0.1728
PRPSAP1,0.6093,0.0956,0.4598,0.1143,0.5359,0.2957
ITPR3,0.1928,0.0809,0.1372,0.0712,0.3303,0.1078
DSC3,0.3381,0.5036,0.2507,0.5048,0.3766,0.2691
ITIH4,34.9795,1.415,25.4167,0.7472,43.3502,12.8337
INPP5A,0.4097,1.4923,0.5222,1.6067,0.1805,0.849
RASA3,0.5521,1.5327,0.8422,1.2831,0.7768,0.7865
IRF3,0.1016,0.2462,0.1865,0.3736,0.4812,0.1956
TRIP12,1.3373,0.1851,0.1078,0.1503,0.4519,0.0472
CLINT1,1.0254,0.3099,0.3542,0.2723,0.5121,0.4902
DIP2A,0.9727,1.895,0.7051,1.8779,1.3006,0.908
USP10,0.1352,0.0636,0.149,0.0953,0.3257,0.1083
GANAB,1.8315,1.1893,1.739,1.305,1.5259,1.3916
RFTN1,1.6005,9.2706,0.5764,12.091,1.7381,4.3288
PPP2R5D,0.1668,0.3256,0.0879,0.3114,0.2308,0.1908
MVP,2.7653,13.4251,4.4298,13.6282,3.9076,5.9369
LTBP1,4.5983,0.6081,6.798,0.416,7.5277,3.9005
LTBP2,1.0281,1.1256,3.0487,1.0059,13.0401,3.2022
NAA30,0.2104,0.0669,0.1516,0.074,0.3556,0.1058
LASP1,4.4145,5.5439,4.0729,7.8315,3.0186,3.8047
PTGR1,0.8523,1.7564,0.9125,2.1254,1.3376,1.0534
GPNMB,1.8342,0.1598,0.9294,0.145,1.16,0.658
KPNB1,1.5344,2.2248,1.5541,2.415,2.8533,1.9341
NUMA1,0.581,3.1683,0.4523,3.2154,0.3391,1.2422
PSME4,0.2921,0.1241,0.3032,0.0699,0.2738,0.0701
SHPRH,0.6578,0.7589,1.2125,0.0793,0.8707,0.4334
SLMAP,1.7047,0.0557,1.7105,0.0963,1.5196,0.0811
GAPVD1,0.2059,0.4038,0.2328,0.351,0.348,0.3019
FRMPD4,0.4642,0.0966,0.309,0.0073,0.3473,0.2254
NAA25,0.3399,0.2361,0.2369,0.1819,0.2763,0.1227
VEPH1,0.536,0.3258,0.363,0.308,0.1179,0.1357
NCAPH,0.1458,0.0622,0.1275,0.0336,0.3288,0.0635
SPCS2,1.7481,1.9434,2.3551,2.5483,7.6146,2.2142
EMC2,0.3773,0.1806,0.3256,0.1025,0.1079,0.1713
PSMD6,1.1501,0.9137,1.0347,1.0325,0.8903,0.9077
LAPTM4A,0.3882,0.9733,0.3572,0.9609,0.1508,0.4278
ABRAXAS2,0.6815,0.0644,0.7322,0.101,0.657,0.0803
SEPTIN2,2.5856,3.3284,2.2835,3.3114,1.9328,2.5552
EFTUD2,0.4637,0.3536,0.7831,0.3125,0.2999,0.2898
SNX17,0.3494,0.6623,0.3788,0.7056,0.1913,0.4706
JOSD1,0.5318,0.173,0.056,0.1628,0.2379,0.0968
ARL6IP1,0.3328,0.5718,0.1321,0.6753,0.3489,0.2832
RAB3GAP1,0.5393,0.3105,0.2731,0.2909,0.3684,0.2995
SLC39A14,1.0816,7.7229,0.5763,6.8336,1.0125,2.1838
KARS1,0.7327,0.3557,0.3075,0.4695,0.3896,0.4134
ARHGEF6,0.268,0.205,0.2594,0.5318,0.4929,0.1181
EIF4H,0.2824,1.7009,0.4894,2.6896,0.5687,0.8679
ACAP2,0.2703,0.2106,0.3216,0.1884,0.2617,0.1445
POSTN,13.8593,7.9148,17.6765,5.6147,35.0663,13.3507
EEA1,3.2943,1.0644,3.5358,1.0235,1.9965,2.2387
PDIA6,0.6175,0.4142,0.6132,0.6652,0.7197,0.4104
PAFAH1B3,0.2274,0.2571,0.1581,0.367,0.3664,0.2525
PCOLCE,1.2372,0.153,1.7541,0.088,7.7576,0.7072
PEA15,0.3596,0.417,0.3157,0.4944,0.6171,0.1543
PMVK,0.9654,0.6416,0.6022,0.4515,0.3146,0.6296
PRKD1,0.3882,0.1457,0.2021,0.1796,0.2446,0.1686
PLCB4,1.3804,0.4351,2.0471,0.3822,0.6431,0.2849
PLEC,1.9663,1.2492,1.8858,1.5282,2.9523,1.5247
PON3,5.0553,1.1688,4.9631,0.7605,14.0059,3.4018
PPP2R5A,0.7709,0.1659,0.1191,0.0862,0.4406,0.1878
PPA1,1.1128,1.1111,1.4928,1.2786,3.4816,0.8477
PTGES3,1.1858,1.2548,1.6176,1.3813,0.9645,1.2709
STK38,0.3761,0.9756,0.4664,1.0015,0.8075,0.677
NECTIN1,1.0133,0.2024,0.8935,0.149,0.7523,0.5285
NONO,0.0752,0.1612,0.2326,0.1686,0.179,0.3025
PTPA,0.0547,0.1648,0.2418,0.2118,0.6368,0.211
PTPRK,0.6165,0.9345,0.4509,0.8885,1.0729,0.4756
QPRT,0.314,0.5221,0.2473,0.6086,0.148,0.285
RABEP1,0.9389,0.7405,0.7307,0.6065,1.0663,1.5394
RASA2,0.1757,1.4223,0.2822,1.4663,0.3381,0.5389
RAB35,1.3175,10.3435,1.3483,10.9581,1.4535,4.747
RCN1,0.3187,0.7064,0.3962,1.1252,1.5648,0.4146
LLGL1,0.6154,0.6656,0.2165,0.8191,0.4628,0.3752
TMED2,0.2292,0.4715,0.0722,0.4271,0.1837,0.2325
PCBP1,1.2669,2.2803,1.3551,2.3194,1.5199,1.655
PCBP2,1.5455,2.5018,1.635,2.29,2.0909,1.9137
ELOC,1.0831,1.0941,0.7306,1.2226,0.8888,0.8807
ELOB,0.5156,1.3023,0.4041,1.5029,0.3811,0.7468
RHEB,1.1391,4.0122,0.9192,3.9933,0.704,2.1584
UBE3C,0.1294,0.0882,0.1136,0.1251,0.3331,0.0981
DHCR24,0.3015,0.3739,0.2384,0.3188,0.3737,0.1946
SF3B3,0.0463,0.0987,0.5856,0.0489,0.1652,1.0916
RSU1,3.9207,2.9501,3.781,3.613,1.6734,2.8747
CNN3,0.5104,0.4567,0.9424,0.5699,0.7748,0.7704
PPP1R7,1.0648,0.4889,1.0366,0.7568,0.9061,0.9196
SEC23A,0.3986,0.919,0.5003,1.3721,0.4729,0.6013
SEC23B,2.9314,0.1506,0.232,0.1243,0.4943,0.123
SKIC2,0.4883,0.2585,0.1664,0.2318,0.2096,0.241
FCN2,7.2507,0.1462,7.31,0.0989,2.5527,6.0747
CDSN,0.8482,0.6642,1.2636,0.7069,0.5136,0.4519
MAPRE2,2.0615,0.4915,1.8793,0.335,1.4042,1.122
TGFBI,42.3381,4.57,36.9474,2.4722,23.7806,21.8188
NHERF2,0.393,0.4097,0.685,0.6543,0.3172,0.1477
TRADD,0.2,0.1645,0.3616,0.2178,0.6504,0.2174
TRAM1,0.3142,0.1238,0.0539,0.1096,0.3484,0.1257
TSN,0.5234,0.5269,0.3678,0.4428,0.8336,0.4777
TRIP10,1.3521,1.4349,1.2365,1.4502,1.0961,1.1603
TRIP13,0.3645,0.1474,0.2111,0.1675,0.2661,0.1559
TRIP4,0.225,0.2407,0.2928,0.0581,0.2541,0.0384
TRIP6,0.4016,0.4733,0.4386,0.526,0.6253,0.4041
PTPN14,0.8492,0.3455,0.4503,0.4075,0.4175,0.2062
MAPRE1,3.2251,0.7305,0.6473,0.9783,0.3569,0.5204
ELAVL1,0.2742,0.1507,0.2185,0.1985,0.1815,0.165
NSDHL,0.3396,0.4117,0.155,0.248,0.2252,0.1397
GPR68,0.3476,0.4556,0.3103,0.2837,0.436,0.0486
MYLK,0.4643,0.1252,0.4371,0.1378,0.3138,0.2406
TAB1,0.2143,0.1279,0.0544,0.1015,0.289,0.109
SLC1A5,8.5365,122.2898,9.2212,107.4877,17.4824,28.4628
RAB30,0.3613,0.1224,0.0501,0.1324,0.2776,0.2013
TOMM34,0.247,0.1004,0.2198,0.1086,0.355,0.2299
SMAD2,0.9524,0.1857,0.0291,0.1051,0.395,0.0858
SMAD1,0.2087,0.0254,0.1677,0.0771,0.3451,0.1298
ITSN1,0.1403,0.1056,0.1195,0.0505,0.2873,0.097
TBCE,0.4423,0.1458,0.08,0.1402,0.3488,0.0721
UBE2V2,0.3315,0.364,0.2993,0.8325,0.3846,0.2334
STK11,0.3946,0.2646,0.1921,0.2875,0.4249,0.1783
STXBP2,1.211,0.5292,1.1643,0.4635,0.8016,0.7952
VAMP3,0.8142,6.3694,1.3322,5.0271,1.197,2.068
NEDD8,0.2929,0.2945,0.3827,1.2305,0.3597,0.2176
ADIPOQ,0.4994,0.3474,0.3982,0.1541,0.4565,0.3011
ATP6AP1,0.8418,2.2729,0.7811,1.7272,0.4798,1.1372
ZYX,3.1775,5.5945,3.1038,8.7381,2.8914,3.9332
SEPTIN7,1.1954,0.7423,0.723,1.2285,0.9953,0.7382
ADRM1,0.0463,0.0607,0.2084,0.1795,0.2414,0.0921
CCDC6,0.2758,0.1928,0.2241,0.2863,0.2116,0.094
UAP1,0.6378,1.3549,0.6617,1.6271,0.5657,0.803
IGFBP7,0.6053,0.1921,0.9017,0.668,2.8888,0.9073
LAMA4,0.2781,0.0725,0.194,0.0488,0.3049,0.1201
PSMD5,0.3438,0.4838,0.6613,0.6376,0.7476,0.5344
PKN1,0.4611,0.3299,0.5676,0.3081,0.3801,0.2243
PKN2,0.6455,0.3949,0.5602,0.443,0.9681,0.1523
CSRP2,0.076,0.1208,0.1442,0.1157,0.2439,0.1052
DDB1,0.3023,0.4455,0.4763,0.5969,0.5889,0.2587
PPP2R5E,0.2561,0.2941,0.078,0.4164,0.2959,0.2436
MAPK14,0.2924,0.2646,0.2527,0.2728,0.4347,0.2145
CDC37,0.6803,0.7532,0.3447,0.9539,0.7126,0.3003
DPYSL2,1.3508,1.567,1.3025,2.1705,1.652,1.4054
SYPL1,0.524,1.436,0.4835,0.423,0.7343,0.3974
RBBP7,0.1924,0.0793,0.159,0.0801,0.2369,0.0689
SGCB,0.4393,1.3062,0.4402,0.8889,0.6301,0.4831
ECM1,3.217,0.2436,2.0886,0.4499,6.3963,1.4741
DBN1,1.0395,0.8379,0.4355,1.0238,0.6016,0.4499
FSCN1,2.4689,7.1576,2.3861,8.315,2.3929,3.7393
DECR1,0.8664,0.4733,0.8725,0.5344,0.7728,0.6388
MAN2A1,0.3456,0.1235,0.2603,0.0734,0.2719,0.2069
UGCG,0.8521,0.3866,0.2875,0.2219,0.401,0.2507
